병원명,주소,전화번호,진료과목,위도,경도
수원시 마취통증의학과 의원,경기도 수원시 가상로 134,031-783-5939,마취통증의학과,37.380997,127.199268
서초구 재활의학과 의원,서울특별시 서초구 가상로 86,02-921-9050,재활의학과,37.577197,126.873868
고양시 안과 의원,경기도 고양시 가상로 139,031-381-9999,안과,37.499184,127.157326
종로구 소아청소년과 의원,서울특별시 종로구 가상로 121,02-357-1184,소아청소년과,37.496565,126.923136
부천시 영상의학과 의원,경기도 부천시 가상로 40,031-587-5807,영상의학과,37.305854,127.06399
중구 치과 의원,서울특별시 중구 가상로 189,02-999-6566,치과,37.227062,127.198071
부천시 영상의학과 의원,경기도 부천시 가상로 31,031-315-9019,영상의학과,37.279739,127.056655
종로구 마취통증의학과 의원,서울특별시 종로구 가상로 194,02-202-4283,마취통증의학과,37.320776,126.989813
성남시 치과 의원,경기도 성남시 가상로 153,031-588-5509,치과,37.319965,127.056497
강남구 안과 의원,서울특별시 강남구 가상로 166,02-848-4463,안과,37.448361,126.949006
수원시 외과 의원,경기도 수원시 가상로 104,031-707-5057,외과,37.34205,126.835276
중구 소아청소년과 의원,서울특별시 중구 가상로 8,02-985-6313,소아청소년과,37.531659,126.923289
수원시 응급의학과 의원,경기도 수원시 가상로 56,031-232-8057,응급의학과,37.208371,126.954096
중구 마취통증의학과 의원,서울특별시 중구 가상로 196,02-681-7614,마취통증의학과,37.364044,126.898529
고양시 산부인과 의원,경기도 고양시 가상로 12,031-668-6478,산부인과,37.30611,127.12527
